game_name,scaled_rating
Hades' Star,0.67516275
Rakuen,0.968631112
High On Racing,0.382020944
Lonely Astronaut,0.795853269
Steep,0.719109403
Software Inc.,0.912456392
Tom Clancy's Ghost Recon® Wildlands,0.694028857
Freedom Cry,0.422556391
Katana ZERO,0.973888209
Quake III Arena,0.948105558
Wayward Souls,0.856897145
Orbital Racer,0.850292398
Quake 4,0.81920904
Titan Souls,0.757224227
Pipes!,0.740890688
Mini Ninjas,0.838917165
Narcissu 1st & 2nd,0.937229777
Illyriad - Grand Strategy MMO,0.546340599
Wolfenstein 3D,0.947481607
The Ultimate DOOM,0.927167743
DOOM II: Hell on Earth,0.924286448
Quake,0.94455274
Quake II,0.918604098
Asterix & Obelix XXL 2,0.745779544
Lara Croft and the Guardian of Light,0.902987509
Knights of Pen and Paper +1,0.825619915
Batman: Arkham Asylum GOTY Edition,0.95410509
Dungeons 3,0.937608703
Dungeon Painter Studio,0.799575715
Black Mesa,0.925775263
hack_me,0.571202935
Garfield Kart,0.861843911
Subnautica,0.936403876
Witch It,0.891142724
Vampire: The Masquerade - Bloodlines,0.937688772
Thorne - Son of Slaves (Ep.2),0.884840305
Call of Duty,0.92143037
A Princess' Tale,0.5353902
The Thrill of the Fight,0.934691315
Call of Duty 2,0.900755635
SQUAKE,0.734297576
Euro Truck Simulator,0.769759488
闯关杀II,1
Call of Duty: United Offensive,0.814459487
DiRT Rally 2.0,0.554071901
Eador. Masters of the Broken World,0.627012737
Deliver Us The Moon,0.798946402
Rising Storm/Red Orchestra 2 Multiplayer,0.912547501
Handball 17,0.454636591
The Ball,0.711042312
Romance of the Three Kingdoms XIII,0.398368342
Foundation,0.731472423
Heart's Medicine - Time to Heal,0.915834242
Killing Floor 2,0.864590812
Celestial Command,0.767930465
Overruled!,0.52723915
X Rebirth,0.340449025
Modern Combat Versus,0.500905771
Praey for the Gods,0.794965675
Trine,0.95362938
For The King,0.819092389
Split/Second,0.748462064
Trine 2,0.953575299
FlatOut 2,0.933381283
Mega Man Legacy Collection,0.782133453
Saku Saku: Love Blooms with the Cherry Blossoms,0.919799499
Acceleration of Suguri X-Edition,0.804958406
Electronauts,0.894736842
Escape Machines,0.349678544
Gone Home,0.736273262
STANDBY,0.657811194
Viscera Cleanup Detail: Santa's Rampage,0.890220601
Pillars of Eternity II: Deadfire,0.814803437
Zenge,0.95369868
Captain Kaon,0.859649123
Bleed 2,0.943992999
